Community,category,pcfreq
Capital Region,Beef,0.05443396554975244
Capital Region,Beverages,0.05443396554975244
Capital Region,Bread,0.011664421189232665
Capital Region,Butter,0.12053235228873753
Capital Region,Chicken,0.015552561585643554
Capital Region,Cold Coffee,0.21384772180259887
Capital Region,Crackers,0.15552561585643554
Capital Region,Desserts Snacks,0.20218330061336623
Capital Region,Dressings,0.015552561585643554
Capital Region,Fresh Dough,0.011664421189232665
Capital Region,Health Supplements,0.038881403964108885
Capital Region,Lamb,0.02332884237846533
Capital Region,Light Breads,0.02332884237846533
Capital Region,Mayo Salads,0.02332884237846533
Capital Region,Meat,0.019440701982054442
Capital Region,Milk,0.10109165030668311
Capital Region,Milk Alternatives,0.18663073902772265
Capital Region,Pasta,0.02332884237846533
Capital Region,Pork,0.14774933506361376
Capital Region,Potato,0.0038881403964108885
Capital Region,Ready To Eat Meals,0.0038881403964108885
Capital Region,Rye Breads,0.02721698277487622
Capital Region,Sausage,0.08165094832462866
Capital Region,Spices,0.02332884237846533
Capital Region,Tapas,0.10497979070309398
Capital Region,Whipped Cream,0.04276954436051977
Capital Region,Yoghurt,0.18274259863131176
Capital Region,Yoghurt Alternative ,0.10109165030668311
Countryside,Beef,0.04946785190628521
Countryside,Beverages,0.08794284783339593
Countryside,Bread,0.02198571195834898
Countryside,Butter,0.15389998370844288
Countryside,Chicken,0.07694999185422144
Countryside,Cold Coffee,0.2803178274689495
Countryside,Crackers,0.06595713587504695
Countryside,Desserts Snacks,0.1319142717500939
Countryside,Dressings,0.0604607078854597
Countryside,Fresh Dough,0.05496427989587246
Countryside,Health Supplements,0.02198571195834898
Countryside,Lamb,0.03847499592711072
Countryside,Light Breads,0.12641784376050666
Countryside,Mayo Salads,0.03847499592711072
Countryside,Meat,0.005496427989587245
Countryside,Milk,0.17588569566679185
Countryside,Milk Alternatives,0.313296395406473
Countryside,Pasta,0.005496427989587245
Countryside,Patee,0.032978567937523476
Countryside,Pork,0.21436069159390256
Countryside,Ready To Eat Meals,0.032978567937523476
Countryside,Rye Breads,0.13741069973968115
Countryside,Sausage,0.08244641984380868
Countryside,Spices,0.005496427989587245
Countryside,Tapas,0.07694999185422144
Countryside,Toppings,0.01099285597917449
Countryside,Whipped Cream,0.18687855164596637
Countryside,Yoghurt,0.25833211551060054
Countryside,Yoghurt Alternative ,0.10443213180215766
Metropolitan Area,Beef,0.04941022721374777
Metropolitan Area,Beverages,0.016470075737915923
Metropolitan Area,Bread,0.024705113606873885
Metropolitan Area,Butter,0.07960536606659364
Metropolitan Area,Cold Coffee,0.09882045442749554
Metropolitan Area,Crackers,0.07411534082062166
Metropolitan Area,Desserts Snacks,0.10156546705048153
Metropolitan Area,Dressings,0.07137032819763568
Metropolitan Area,Fresh Dough,0.027450126229859876
Metropolitan Area,Ham,0.0027450126229859877
Metropolitan Area,Health Supplements,0.01098005049194395
Metropolitan Area,Lamb,0.0027450126229859877
Metropolitan Area,Mayo Salads,0.04666521459076179
Metropolitan Area,Meat,0.016470075737915923
Metropolitan Area,Milk,0.0439202019677758
Metropolitan Area,Milk Alternatives,0.12078055541138345
Metropolitan Area,Pasta,0.024705113606873885
Metropolitan Area,Patee,0.008235037868957962
Metropolitan Area,Pork,0.11803554278839745
Metropolitan Area,Potato,0.005490025245971975
Metropolitan Area,Ready To Eat Meals,0.01098005049194395
Metropolitan Area,Rye Breads,0.027450126229859876
Metropolitan Area,Sausage,0.0219601009838879
Metropolitan Area,Spices,0.0027450126229859877
Metropolitan Area,Tapas,0.1262705806573554
Metropolitan Area,Whipped Cream,0.0686253155746497
Metropolitan Area,Yoghurt,0.1372506311492994
Metropolitan Area,Yoghurt Alternative ,0.060390277705691726
