Hovedstaden,Midtjylland,Nordjylland,Sjælland,Syddanmark
0.025881962582976408,0.02175380903341412,0.021435447679315933,0.02228643466498071,0.020905194940942826
0.026321805825596286,0.038427941909752704,0.04150651575318709,0.03677988294162982,0.04199074842647418
0.013976656341612935,0.017172764714524228,0.015508979068894976,0.014091740103941989,0.01924302699024629
0.0075319614702175144,0.009167154563566876,0.009407317746490836,0.007058043026901514,0.00926455387562502
0.20435149423287413,0.18480859123117194,0.18176509311758085,0.19288230939593895,0.1834731453642047
0.015209997835178153,0.018885047630557955,0.017558202912092192,0.017531366332746746,0.016112713159546946
0.0244110976456045,0.023709980090911655,0.023176757059027556,0.027887524754885738,0.023174023450709853
0.04823061219947923,0.045630964675299486,0.04398752769460548,0.062218357302681784,0.04722251257215196
0.017271231945486954,0.01657281436059694,0.017818337545036915,0.016576548611634167,0.017733207355622643
0.004334904009371453,0.004175770255923333,0.003891401754050668,0.0034890789394599916,0.004409219874145261
0.00024602087535684154,0.0006730444259980417,0.0005627402263702194,0.0003180189700598074,0.0007890686325748027
0.0060125397811304415,0.006082005759233916,0.005446900681658916,0.005928999602095882,0.006214854848946303
0.014257071582768018,0.01645774547486179,0.015931919050349325,0.014507903684379106,0.015178811150257113
0.00621526421954126,0.005001516159217705,0.005112441867872842,0.00741182011081972,0.006175913799546508
0.002680737334274795,0.0031633088021907957,0.003417142695348722,0.0026506652911204996,0.0035374869086340507
0.06242577392381041,0.06698167075679866,0.0726341905388857,0.059445201451322933,0.06798833954682183
0.02529402124762527,0.02060963350921745,0.019701216793017774,0.02044222896300709,0.01870605041431227
0.002129213562710033,0.003362327315254733,0.0027110629773558995,0.0022771071229401997,0.002559861615807607
0.0013830581446869809,0.00146260514509897,0.00148825324018036,0.0010910028781477602,0.0011777959502674976
0.006751411686396219,0.009984939726338689,0.009536500251286516,0.008007535071481992,0.013890340638537566
0.007978278946399416,0.008695299761684377,0.00832430825423117,0.010611790895679887,0.009300762219803778
0.0063803571753728245,0.005599295402093385,0.0050098037133776445,0.006428852385180316,0.004946196450079283
0.02948406428104648,0.027369749620236493,0.025095028774075726,0.026279170442190924,0.025936788429179552
0.12656155478718992,0.11772704936599938,0.114519405689693,0.11332507092659924,0.11281905187426003
0.013207436466525177,0.012593891506685936,0.01290232386938764,0.010991435551325446,0.011445935818318827
0.08537774118037417,0.08279966217512037,0.08505340723280456,0.08491867311530013,0.07939191843421456
0.07555875670437233,0.07099822620227084,0.07454007489046031,0.066650841799257,0.07243376776514585
0.03121632639848503,0.029079137721534743,0.026818641920253693,0.02620080691607571,0.025657369320328388
9.549494503982666e-05,0.0,4.954945389423315e-05,0.0,0.0
0.03321605528995462,0.03695520491307957,0.03801327925364365,0.04125497285046185,0.038752492739543815
0.0075546212876845915,0.007791393860532168,0.007499663771562861,0.007252810625789817,0.007725357659875211
0.0028458302901063597,0.0028709325139077754,0.0029251874031131215,0.0029291220926561203,0.0026814669981438098
0.008114237851201881,0.012525863360402264,0.010690294677680802,0.008416851353520691,0.012028002030399979
0.052294407678441006,0.06432278342226445,0.06928960240102497,0.06577743084799226,0.0700740768067793
0.00519800027110853,0.006587874634258251,0.0066714800421878205,0.006080400977794212,0.00705994393855239
